id,toa,qyes_total,qno_total,mask_prop,med_prop,group,final_score,status
176,,0.0,13.0,0.0,0.0,,,not_infected
177,,0.0,3.0,0.2,0.0,,,not_infected
178,4.0,1.0,12.0,0.2,0.2,,,infected
179,,0.0,1.0,0.13333333333333333,0.0,,,not_infected
180,2.0,1.0,7.0,0.06666666666666667,0.06666666666666667,,,infected
181,3.0,1.0,1.0,0.0,0.0,,,infected
182,9.0,1.0,2.0,0.06666666666666667,0.0,,,infected
183,,0.0,0.0,0.0,0.0,,,not_infected
184,4.0,0.0,6.0,0.0,0.0,,,infected
185,3.0,0.0,2.0,0.06666666666666667,0.0,,,infected
186,,0.0,0.0,0.0,0.0,,,not_infected
187,2.0,0.0,2.0,0.26666666666666666,0.0,,,infected
188,,0.0,2.0,0.0,0.0,,,not_infected
189,,0.0,0.0,0.0,0.0,,,not_infected
190,3.0,1.0,4.0,0.06666666666666667,0.0,,,infected
191,,0.0,13.0,0.0,0.0,,,not_infected
192,,1.0,1.0,0.06666666666666667,0.0,,,not_infected
193,6.0,2.0,8.0,0.0,0.13333333333333333,,,infected
194,,0.0,7.0,0.0,0.0,,,not_infected
195,4.0,1.0,3.0,0.0,0.0,,,infected
196,4.0,1.0,2.0,0.0,0.0,,,infected
197,,0.0,11.0,0.06666666666666667,0.0,,,not_infected
198,3.0,2.0,2.0,0.13333333333333333,0.0,,,infected
199,15.0,5.0,8.0,0.06666666666666667,0.0,,,infected
200,,0.0,2.0,0.06666666666666667,0.0,,,not_infected
201,,0.0,5.0,0.0,0.0,,,not_infected
202,5.0,0.0,11.0,0.0,0.0,,,infected
203,,0.0,2.0,0.0,0.0,,,not_infected
204,,0.0,4.0,0.13333333333333333,0.0,,,not_infected
205,5.0,0.0,2.0,0.06666666666666667,0.0,,,infected
206,3.0,0.0,3.0,0.06666666666666667,0.0,,,infected
207,2.0,0.0,1.0,0.0,0.0,,,infected
208,3.0,0.0,5.0,0.0,0.0,,,infected
209,2.0,0.0,2.0,0.06666666666666667,0.0,,,infected
210,,1.0,7.0,0.2,0.06666666666666667,,,not_infected
211,,0.0,2.0,0.0,0.0,,,not_infected
212,,0.0,1.0,0.0,0.0,,,not_infected
213,2.0,0.0,8.0,0.0,0.0,,,infected
214,3.0,0.0,7.0,0.0,0.06666666666666667,,,infected
215,1.0,2.0,2.0,0.06666666666666667,0.0,,,infected
216,,0.0,0.0,0.0,0.0,,,not_infected
217,,0.0,2.0,0.06666666666666667,0.0,,,not_infected
218,3.0,3.0,3.0,0.06666666666666667,0.0,,,infected
219,,0.0,5.0,0.0,0.13333333333333333,,,not_infected
220,,0.0,3.0,0.0,0.0,,,not_infected
221,,0.0,10.0,0.06666666666666667,0.0,,,not_infected
222,,0.0,1.0,0.0,0.0,,,not_infected
223,,0.0,3.0,0.0,0.0,,,not_infected
224,8.0,0.0,4.0,0.0,0.0,,,infected
225,,0.0,1.0,0.0,0.0,,,not_infected
226,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
227,,0.0,0.0,0.0,0.0,,,not_infected
228,4.0,0.0,7.0,0.0,0.0,,,infected
229,,0.0,0.0,0.0,0.0,,,not_infected
230,,0.0,2.0,0.0,0.0,,,not_infected
231,,0.0,2.0,0.06666666666666667,0.0,,,not_infected
232,,0.0,4.0,0.06666666666666667,0.0,,,not_infected
233,3.0,0.0,1.0,0.06666666666666667,0.0,,,infected
234,2.0,1.0,4.0,0.13333333333333333,0.0,,,infected
235,,0.0,0.0,0.0,0.0,,,not_infected
236,,0.0,5.0,0.3333333333333333,0.0,,,not_infected
237,,1.0,2.0,0.0,0.0,,,not_infected
238,,0.0,1.0,0.06666666666666667,0.0,,,not_infected
239,8.0,0.0,4.0,0.13333333333333333,0.06666666666666667,,,infected
240,3.0,0.0,3.0,0.0,0.0,,,infected
241,8.0,0.0,8.0,0.0,0.06666666666666667,,,infected
242,2.0,0.0,2.0,0.2,0.0,,,infected
243,,0.0,4.0,0.0,0.0,,,not_infected
244,,0.0,5.0,0.0,0.0,,,not_infected
245,3.0,2.0,0.0,0.0,0.0,,,infected
246,,0.0,3.0,0.0,0.0,,,not_infected
247,3.0,1.0,8.0,0.06666666666666667,0.06666666666666667,,,infected
248,,0.0,4.0,0.0,0.0,,,not_infected
249,,0.0,4.0,0.0,0.0,,,not_infected
250,2.0,0.0,1.0,0.0,0.0,,,infected
251,,0.0,2.0,0.0,0.0,,,not_infected
252,3.0,2.0,6.0,0.26666666666666666,0.0,,,infected
253,3.0,6.0,3.0,0.0,0.0,,,infected
254,2.0,0.0,3.0,0.06666666666666667,0.0,,,infected
255,3.0,0.0,6.0,0.0,0.13333333333333333,,,infected
256,,3.0,6.0,0.06666666666666667,0.0,,,not_infected
257,,0.0,1.0,0.0,0.0,,,not_infected
258,3.0,1.0,3.0,0.2,0.0,,,infected
259,5.0,0.0,9.0,0.06666666666666667,0.0,,,infected
260,,0.0,1.0,0.0,0.0,,,not_infected
261,,4.0,0.0,0.06666666666666667,0.0,,,not_infected
262,2.0,1.0,1.0,0.13333333333333333,0.0,,,infected
263,9.0,0.0,9.0,0.0,0.0,,,infected
264,,0.0,14.0,0.13333333333333333,0.0,,,not_infected
265,1.0,1.0,3.0,0.06666666666666667,0.0,,,infected
266,4.0,0.0,7.0,0.0,0.0,,,infected
267,,0.0,7.0,0.0,0.0,,,not_infected
268,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
269,,0.0,3.0,0.0,0.0,,,not_infected
270,,1.0,0.0,0.0,0.0,,,not_infected
271,,0.0,11.0,0.0,0.0,,,not_infected
272,4.0,1.0,2.0,0.06666666666666667,0.0,,,infected
273,8.0,0.0,8.0,0.06666666666666667,0.0,,,infected
274,,0.0,1.0,0.06666666666666667,0.0,,,not_infected
275,,0.0,2.0,0.0,0.0,,,not_infected
276,,0.0,0.0,0.13333333333333333,0.0,,,not_infected
277,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
278,,0.0,1.0,0.06666666666666667,0.0,,,not_infected
279,3.0,0.0,7.0,0.06666666666666667,0.0,,,infected
280,3.0,0.0,10.0,0.0,0.0,,,infected
281,3.0,0.0,11.0,0.3333333333333333,0.0,,,infected
282,2.0,0.0,1.0,0.06666666666666667,0.0,,,infected
283,3.0,2.0,9.0,0.13333333333333333,0.13333333333333333,,,infected
284,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
285,3.0,0.0,5.0,0.06666666666666667,0.0,,,infected
286,1.0,0.0,2.0,0.06666666666666667,0.0,,,infected
287,2.0,0.0,4.0,0.0,0.0,,,infected
288,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
289,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
290,2.0,0.0,1.0,0.13333333333333333,0.0,,,infected
291,,0.0,2.0,0.06666666666666667,0.0,,,not_infected
292,3.0,1.0,7.0,0.06666666666666667,0.06666666666666667,,,infected
293,5.0,0.0,5.0,0.0,0.0,,,infected
294,,0.0,0.0,0.0,0.0,,,not_infected
295,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
296,8.0,0.0,2.0,0.0,0.0,,,infected
297,,0.0,1.0,0.0,0.0,,,not_infected
298,,0.0,0.0,0.0,0.0,,,not_infected
299,3.0,0.0,6.0,0.06666666666666667,0.0,,,infected
300,,0.0,2.0,0.2,0.0,,,not_infected
301,,0.0,2.0,0.06666666666666667,0.0,,,not_infected
302,4.0,0.0,3.0,0.0,0.0,,,infected
303,4.0,2.0,2.0,0.0,0.0,,,infected
304,,0.0,10.0,0.2,0.0,,,not_infected
305,5.0,0.0,2.0,0.0,0.0,,,infected
306,3.0,1.0,1.0,0.06666666666666667,0.0,,,infected
307,,0.0,1.0,0.0,0.0,,,not_infected
308,2.0,0.0,5.0,0.0,0.0,,,infected
309,,0.0,0.0,0.0,0.0,,,not_infected
310,7.0,9.0,1.0,0.06666666666666667,0.0,,,infected
311,,1.0,1.0,0.06666666666666667,0.0,,,not_infected
312,,0.0,6.0,0.06666666666666667,0.0,,,not_infected
313,2.0,2.0,1.0,0.13333333333333333,0.0,,,infected
314,4.0,0.0,2.0,0.3333333333333333,0.0,,,infected
315,3.0,0.0,0.0,0.13333333333333333,0.0,,,infected
316,,0.0,2.0,0.13333333333333333,0.0,,,not_infected
317,,0.0,4.0,0.0,0.0,,,not_infected
318,,0.0,4.0,0.13333333333333333,0.0,,,not_infected
319,3.0,1.0,3.0,0.06666666666666667,0.06666666666666667,,,infected
320,,0.0,1.0,0.06666666666666667,0.0,,,not_infected
321,,0.0,1.0,0.0,0.0,,,not_infected
322,,0.0,0.0,0.13333333333333333,0.0,,,not_infected
323,2.0,0.0,6.0,0.3333333333333333,0.0,,,infected
324,2.0,1.0,1.0,0.13333333333333333,0.0,,,infected
325,,1.0,0.0,0.0,0.0,,,not_infected
326,,0.0,6.0,0.06666666666666667,0.0,,,not_infected
327,,0.0,4.0,0.06666666666666667,0.0,,,not_infected
328,,0.0,13.0,0.0,0.0,,,not_infected
329,,0.0,0.0,0.0,0.0,,,not_infected
330,,4.0,3.0,0.0,0.0,,,not_infected
331,10.0,5.0,1.0,0.2,0.0,,,infected
332,,0.0,4.0,0.0,0.0,,,not_infected
333,,0.0,8.0,0.0,0.0,,,not_infected
334,2.0,0.0,3.0,0.06666666666666667,0.0,,,infected
